,timestamp,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,yaw,pitch,roll,position_x,position_y,position_z,speed,power,torque
846,7918,8999.9951171875,-8.122536659240723,-0.19169549643993378,12.224605560302734,17.01321792602539,0.19846190512180328,14.897063255310059,0.8399490118026733,0.004613457713276148,-0.006310671102255583,-5020.6865234375,179.30081176757812,-339.00628662109375,22.61440658569336,847272.875,957.388671875
864,8046,8999.9951171875,-7.731268882751465,-0.37280428409576416,12.154948234558105,16.614604949951172,0.21268044412136078,15.725998878479004,0.8004857897758484,0.008343946188688278,-0.007575036492198706,-5017.80712890625,179.29852294921875,-339.24188232421875,22.877878189086914,840635.75,953.6859741210938
882,8174,8999.9951171875,-4.791177272796631,0.5805386304855347,13.598936080932617,16.396162033081055,0.2145446240901947,16.939428329467773,0.7744085192680359,0.008583147078752518,-0.004973952658474445,-5014.83251953125,179.29144287109375,-339.263671875,23.575929641723633,-178070.5,-204.4709014892578
900,8304,8999.9951171875,-6.98668909072876,0.5198243260383606,13.307172775268555,15.509323120117188,0.21352331340312958,18.528467178344727,0.7725340723991394,0.006631425581872463,-0.0028729161713272333,-5011.82568359375,179.29400634765625,-339.0698547363281,24.163785934448242,857585.75,941.9025268554688
918,8432,8999.9951171875,-9.571573257446289,-0.28582870960235596,10.633862495422363,14.100095748901367,0.2260316014289856,20.10740852355957,0.7818159461021423,0.008184067904949188,-0.0036582464817911386,-5008.72705078125,179.29971313476562,-338.6271667480469,24.55954933166504,844019.4375,934.6912231445312
936,8566,8999.9951171875,-9.53170108795166,-0.2010718435049057,11.160760879516602,12.559915542602539,0.23621144890785217,21.780969619750977,0.7949571013450623,0.008970164693892002,-0.004357693716883659,-5005.56689453125,179.300048828125,-337.93035888671875,25.143943786621094,830903.8125,935.7435913085938
954,8694,8999.9951171875,-6.597725868225098,0.08424040675163269,11.422782897949219,11.157687187194824,0.23939748108386993,23.691143035888672,0.8210893869400024,0.007704531773924828,-0.0036475753877311945,-5002.4169921875,179.30136108398438,-337.00787353515625,26.188194274902344,650855.8125,719.75390625
972,8823,8999.9951171875,-5.398802757263184,0.12288589030504227,7.033438682556152,9.082096099853516,0.23770402371883392,25.479448318481445,0.8864966034889221,0.007648460101336241,-0.002618884202092886,-4999.1357421875,179.30276489257812,-335.89935302734375,27.050750732421875,45731.35546875,76.3642807006836
990,8953,8999.9951171875,-5.460357666015625,-0.3480781018733978,-17.112712860107422,5.708882808685303,0.33427485823631287,23.817676544189453,0.9891068339347839,0.013927819207310677,-0.003057911293581128,-4996.099609375,179.30137634277344,-334.8056335449219,24.494586944580078,-6753.11181640625,-31.500991821289062
1008,9086,8999.9951171875,-1.9235196113586426,-0.5358136296272278,-21.11273765563965,2.6874542236328125,0.3947505056858063,21.650760650634766,1.1055974960327148,0.019959663972258568,-0.002474667737260461,-4993.36669921875,179.29660034179688,-333.8242492675781,21.820486068725586,131679.046875,452.30499267578125
1026,9214,8999.9951171875,-0.37173938751220703,-0.4157743453979492,-22.544021606445312,-0.08633041381835938,0.3539523184299469,18.90253448486328,1.2275160551071167,0.02054617926478386,-0.0020262515172362328,-4990.95166015625,179.291748046875,-332.95184326171875,18.906044006347656,-56996.6171875,-85.29912567138672
1044,9341,8999.9951171875,1.975881576538086,-0.3230491876602173,-22.386911392211914,-1.9525022506713867,0.3066478669643402,15.954893112182617,1.3406602144241333,0.019360462203621864,-0.0003095506690442562,-4988.923828125,179.29071044921875,-332.2137756347656,16.07684326171875,-72.24694061279297,-0.7114502787590027
1062,9469,8999.9951171875,4.136167526245117,-0.37756267189979553,-21.309614181518555,-3.1563005447387695,0.2562360167503357,12.935464859008789,1.449356198310852,0.018862565979361534,0.002053570933640003,-4987.19287109375,179.2911834716797,-331.5697326660156,13.317437171936035,-0.25751596689224243,-0.0026024531107395887
